"","Virus.name","Accession.ID"
"1","hCoV-19/Wuhan/Hu-1/2019","EPI_ISL_402125"
"2","hCoV-19/Wuhan/WIV05/2019","EPI_ISL_402128"
"3","hCoV-19/Wuhan/IPBCAMS-WH-02/2019","EPI_ISL_403931"
"4","hCoV-19/Australia/SA0305/2020","EPI_ISL_468037"
"5","hCoV-19/Nepal/61/2020","EPI_ISL_410301"
"6","hCoV-19/Netherlands/ZuidHolland_94/2020","EPI_ISL_422630"
"7","hCoV-19/HongKong/HKU-200723-051/2020","EPI_ISL_497818"
"8","hCoV-19/USA/WI-CDC-03041142-001/2020","EPI_ISL_408670"
"9","hCoV-19/Curacao/CW-RIVM-10308/2020","EPI_ISL_636492"
"10","hCoV-19/Australia/NSW10/2020","EPI_ISL_413596"
"11","hCoV-19/Finland/1/2020","EPI_ISL_407079"
"12","hCoV-19/Italy/CAM-CRGS-35/2020","EPI_ISL_918466"
"13","hCoV-19/Thailand/63015565__2019/2020","EPI_ISL_12717953"
"14","hCoV-19/Indonesia/JI-ITD-4522NT/2020","EPI_ISL_17323222"
"15","hCoV-19/Wuhan/HB-WH5-237/2020","EPI_ISL_454978"
"16","hCoV-19/Kazakhstan/122252/2020","EPI_ISL_1341149"
"17","hCoV-19/Germany/BAV-PL-virotum_RTWDF/2020","EPI_ISL_1373298"
"18","hCoV-19/Singapore/150/2020","EPI_ISL_443242"
"19","hCoV-19/Mexico/JAL-InDRE-11/2020","EPI_ISL_455435"
"20","hCoV-19/HongKong/HKPU-00613/2020","EPI_ISL_1289444"
"21","hCoV-19/Indonesia/JI-ITD-1180NT/2020","EPI_ISL_17323186"
"22","hCoV-19/Australia/WA11/2020","EPI_ISL_420456"
"23","hCoV-19/Australia/SA0097/2020","EPI_ISL_468039"
"24","hCoV-19/Italy/LAZ-INMI1-cs/2020","EPI_ISL_410546"
"25","hCoV-19/USA/OR-PROV-123/2020","EPI_ISL_482387"
"26","hCoV-19/Jamaica/un-CDC-3088778-001/2020","EPI_ISL_450796"
"27","hCoV-19/USA/NY-AECOM_075/2020","EPI_ISL_826638"
"28","hCoV-19/SriLanka/COV486/2020","EPI_ISL_428673"
"29","hCoV-19/Uganda/UG038/2020","EPI_ISL_737958"
"30","hCoV-19/Philippines/PH-RITM-0065/2020","EPI_ISL_3105872"
"31","hCoV-19/India/GJ-GBRC24a/2020","EPI_ISL_437453"
"32","hCoV-19/Philippines/PH-RITM-0057/2020","EPI_ISL_3105866"
"33","hCoV-19/Oman/RESP-20-2850/2020","EPI_ISL_457977"
"34","hCoV-19/Singapore/550/2020","EPI_ISL_482697"
"35","hCoV-19/Malaysia/MGI-MAEPS54/2020","EPI_ISL_528743"
"36","hCoV-19/Timor-Leste/TL14/2020","EPI_ISL_456601"
"37","hCoV-19/Singapore/778/2020","EPI_ISL_509388"
"38","hCoV-19/Singapore/825/2020","EPI_ISL_516825"
"39","hCoV-19/Singapore/583/2020","EPI_ISL_483606"
"40","hCoV-19/Singapore/58/2020","EPI_ISL_428837"
"41","hCoV-19/Tunisia/7899/2020","EPI_ISL_763067"
"42","hCoV-19/Thailand/CU-SI2011588-NT/2020","EPI_ISL_937535"
"43","hCoV-19/Iran/2949/2020","EPI_ISL_15754886"
"44","hCoV-19/Canada/MB-NML-767/2020","EPI_ISL_1257986"
"45","hCoV-19/Bahrain/BAH-05/2020","EPI_ISL_483546"
"46","hCoV-19/Bahrain/BAH-17/2020","EPI_ISL_483558"
"47","hCoV-19/Iran/4219/2020","EPI_ISL_15754961"
"48","hCoV-19/Taiwan/TSGH-26/2020","EPI_ISL_447252"
"49","hCoV-19/Oman/RESP-20-837/2020","EPI_ISL_457704"
"50","hCoV-19/Kuwait/KU12/2020","EPI_ISL_416458"
"51","hCoV-19/Lebanon/S5_762/2020","EPI_ISL_450512"
"52","hCoV-19/SriLanka/CDR503/2020","EPI_ISL_525479"
"53","hCoV-19/Kazakhstan/26548/2020","EPI_ISL_454512"
"54","hCoV-19/Iran/B15235/2020","EPI_ISL_15755052"
"55","hCoV-19/Oman/RESP-20-797/2020","EPI_ISL_457701"
"56","hCoV-19/Vietnam/PIHCM-869/2020","EPI_ISL_17433661"
"57","hCoV-19/Mexico/ZAC-InDRE-IBT-49/2020","EPI_ISL_1301519"
"58","hCoV-19/UnitedArabEmirates/skmc-920568379/2020","EPI_ISL_582608"
"59","hCoV-19/SouthKorea/KCDC03/2020","EPI_ISL_407193"
"60","hCoV-19/SouthKorea/KCDC07/2020","EPI_ISL_412871"
"61","hCoV-19/Thailand/SI202620-NT/2020","EPI_ISL_437615"
"62","hCoV-19/Thailand/Bangkok-0083/2020","EPI_ISL_447024"
"63","hCoV-19/Thailand/Bangkok-CONI-0228/2020","EPI_ISL_512870"
"64","hCoV-19/Australia/VIC46/2020","EPI_ISL_419816"
"65","hCoV-19/USA/WA6-UW3/2020","EPI_ISL_413457"
"66","hCoV-19/PuertoRico/PR-CDC-S7/2020","EPI_ISL_434547"
"67","hCoV-19/Canada/NS-NML-940/2020","EPI_ISL_579572"
"68","hCoV-19/U.S.VirginIslands/VI-CDC-03083817-001/2020","EPI_ISL_452122"
"69","hCoV-19/Australia/SA0375/2020","EPI_ISL_492140"
"70","hCoV-19/Venezuela/1Z/2020","EPI_ISL_1577817"
"71","hCoV-19/EquatorialGuinea/253/2020","EPI_ISL_648318"
"72","hCoV-19/Spain/VC-FISABIO-54/2020","EPI_ISL_425178"
"73","hCoV-19/Kazakhstan/7263/2020","EPI_ISL_454571"
"74","hCoV-19/Panama/GMI-PA396855/2020","EPI_ISL_1225485"
"75","hCoV-19/Panama/335026-GMI/2020","EPI_ISL_13105094"
"76","hCoV-19/Panama/GMI-PA389033/2020","EPI_ISL_1225475"
"77","hCoV-19/Panama/GMI-PA369152/2020","EPI_ISL_1225446"
"78","hCoV-19/Panama/334256/2020","EPI_ISL_496770"
"79","hCoV-19/Panama/GMI-PA341363/2020","EPI_ISL_1225330"
"80","hCoV-19/Panama/GMI-PA342605/2020","EPI_ISL_1225338"
"81","hCoV-19/Panama/GMI-PA719359/2021","EPI_ISL_4744614"
"82","hCoV-19/Panama/GMI-PA641589/2021","EPI_ISL_1502957"
"83","hCoV-19/Panama/GMI-PA712609/2021","EPI_ISL_1503119"
"84","hCoV-19/Paraguay/iics_12209/2021","EPI_ISL_2444836"
"85","hCoV-19/Panama/PA766320-GMI/2021","EPI_ISL_11686265"
"86","hCoV-19/Panama/GMI-PA584303/2020","EPI_ISL_1001458"
"87","hCoV-19/Panama/GMI-PA700792/2021","EPI_ISL_1503092"
"88","hCoV-19/Panama/GMI-PABT9822/2021","EPI_ISL_11681759"
"89","hCoV-19/Panama/GMI-PA677127/2021","EPI_ISL_1503132"
"90","hCoV-19/Nicaragua/MAN-5869_01_SR1/2021","EPI_ISL_9159965"
"91","hCoV-19/Panama/GMI-PA677161/2021","EPI_ISL_1503133"
"92","hCoV-19/Honduras/CM-USAFSAM-S4223/2021","EPI_ISL_3375859"
"93","hCoV-19/Nicaragua/MAN-57986/2021","EPI_ISL_10281015"
"94","hCoV-19/Nicaragua/MAN-112497/2021","EPI_ISL_10280994"
"95","hCoV-19/CostaRica/INC-0547/2021","EPI_ISL_2103400"
"96","hCoV-19/CostaRica/INC-0571/2021","EPI_ISL_2272958"
"97","hCoV-19/Belize/CML-114/2021","EPI_ISL_4296418"
"98","hCoV-19/Guatemala/ASI4237/2021","EPI_ISL_3835415"
"99","hCoV-19/Guatemala/ASI3038/2021","EPI_ISL_7740281"
"100","hCoV-19/Guatemala/ASI3048/2021","EPI_ISL_7740277"
"101","hCoV-19/Kyrgyzstan/NRL-455/2020","EPI_ISL_13283915"
"102","hCoV-19/Coted-Ivoire/BKE0965/2020","EPI_ISL_614393"
"103","hCoV-19/BurkinaFaso/CV1806/2020","EPI_ISL_4255057"
"104","hCoV-19/Mali/M00959/2020","EPI_ISL_2683873"
"105","hCoV-19/Coted-Ivoire/BKE1695-bc82/2021","EPI_ISL_1367698"
"106","hCoV-19/CentralAfricanRepublic/23743/2020","EPI_ISL_2281228"
"107","hCoV-19/BurkinaFaso/3570/2020","EPI_ISL_660468"
"108","hCoV-19/BurkinaFaso/2598/2020","EPI_ISL_660459"
"109","hCoV-19/BurkinaFaso/CHUSS_4753/2020","EPI_ISL_7459493"
"110","hCoV-19/Somalia/CV1159/2020","EPI_ISL_2107094"
"111","hCoV-19/Sudan/N6669/2020","EPI_ISL_4739598"
"112","hCoV-19/Bahrain/BAH-12/2020","EPI_ISL_483553"
"113","hCoV-19/Sweden/20-22156/2020","EPI_ISL_623085"
"114","hCoV-19/Denmark/DCGC-2446/2020","EPI_ISL_617406"
"115","hCoV-19/Uganda/UG017/2020","EPI_ISL_451199"
"116","hCoV-19/Kenya/BCRH-1204-20/2020","EPI_ISL_2779396"
"117","hCoV-19/Zambia/ZMB-1241/2020","EPI_ISL_977357"
"118","hCoV-19/Cambodia/127828/2020","EPI_ISL_918366"
"119","hCoV-19/Uganda/UG146/2020","EPI_ISL_954249"
"120","hCoV-19/Uganda/UG219/2021","EPI_ISL_1469317"
"121","hCoV-19/Rwanda/NRLNAT4046/2021","EPI_ISL_2521983"
"122","hCoV-19/Rwanda/NRLNAT4038/2021","EPI_ISL_2362525"
"123","hCoV-19/Uganda/087/2021","EPI_ISL_13860475"
"124","hCoV-19/Rwanda/CV2186/2021","EPI_ISL_4768130"
"125","hCoV-19/Rwanda/NRLNAT4009/2021","EPI_ISL_2362497"
"126","hCoV-19/Oman/89477/2020","EPI_ISL_766570"
"127","hCoV-19/Jordan/IR-ALSR-2578/2020","EPI_ISL_635777"
"128","hCoV-19/GuineaBissau/52LNSPGB/2020","EPI_ISL_2158598"
"129","hCoV-19/Niger/73/2020","EPI_ISL_2835622"
"130","hCoV-19/Niger/EP132/2020","EPI_ISL_2281837"
"131","hCoV-19/Coted-Ivoire/316001-cv216/2021","EPI_ISL_9913618"
"132","hCoV-19/Rwanda/NRLNAT1088/2020","EPI_ISL_1020288"
"133","hCoV-19/Guinea/CERFIG-23158/2021","EPI_ISL_4219400"
"134","hCoV-19/Niger/2826/2020","EPI_ISL_2281790"
"135","hCoV-19/Niger/7322/2020","EPI_ISL_2281822"
"136","hCoV-19/Togo/BMC-16660-20/2020","EPI_ISL_1433132"
"137","hCoV-19/Niger/ZR-188/2020","EPI_ISL_2835635"
"138","hCoV-19/Coted-Ivoire/BKE0369/2020","EPI_ISL_614374"
"139","hCoV-19/Coted-Ivoire/BKE0355/2020","EPI_ISL_614373"
"140","hCoV-19/Coted-Ivoire/BKE0405/2020","EPI_ISL_614375"
"141","hCoV-19/Coted-Ivoire/BKE0366/2020","EPI_ISL_681834"
"142","hCoV-19/Tunisia/P1603/2020","EPI_ISL_11172672"
"143","hCoV-19/Gabon/U0604/2020","EPI_ISL_11522703"
"144","hCoV-19/Sweden/20-52115/2020","EPI_ISL_582835"
"145","hCoV-19/Canada/NL-NML-2388/2020","EPI_ISL_1055388"
"146","hCoV-19/Gabon/K0688/2020","EPI_ISL_11522714"
"147","hCoV-19/Canada/QC-JUS-V6020812/2020","EPI_ISL_890029"
"148","hCoV-19/DRC/165/2020","EPI_ISL_2982482"
"149","hCoV-19/Germany/BAV-MVP0108/2020","EPI_ISL_548950"
"150","hCoV-19/Pakistan/JRCGR-KHI22/2020","EPI_ISL_779257"
"151","hCoV-19/Senegal/9838/2020","EPI_ISL_498231"
"152","hCoV-19/Norway/2514/2020","EPI_ISL_2225698"
"153","hCoV-19/Malta/BAL-Sliema-3/2020","EPI_ISL_576119"
"154","hCoV-19/Malta/BAL-Sliema-1/2020","EPI_ISL_576117"
"155","hCoV-19/Malta/BAL-Sliema-5/2020","EPI_ISL_576121"
"156","hCoV-19/Aruba/AW-RIVM-10115/2020","EPI_ISL_547448"
"157","hCoV-19/Senegal/142036/2020","EPI_ISL_8526030"
"158","hCoV-19/Guinea/Conakry_IPG15593/2020","EPI_ISL_2245866"
"159","hCoV-19/Congo/ROTC-Q001C129AL_2101TM-r1-043/2021","EPI_ISL_936340"
"160","hCoV-19/Cameroon/CV416/2020","EPI_ISL_845551"
