"SEQ";"Country";"Continent";"Time";"fim2";"fim3";"prn_allele";"ptxA";"ptxP"
"NC_002929.2";"France";NA;NA;"fim2-1";"fim3-1";"prn1";"ptxA2";"ptxP1"
"ERR2102110|2008|France|Europe";"France";"Europe";"2008";"fim2-1";"fim3-2";"Others";"ptxA1";"ptxP3"
"ERR2102111|2008|France|Europe";"France";"Europe";"2008";"fim2-1";"fim3-1";"Others";"ptxA1";"ptxP3"
"ERR2102112|2008|France|Europe";"France";"Europe";"2008";"fim2-1";"fim3-2";"Others";"ptxA1";"ptxP3"
"ERR2102113|2008|France|Europe";"France";"Europe";"2008";"fim2-1";"fim3-2";"Others";"ptxA1";"ptxP3"
"ERR2102114|2008|France|Europe";"France";"Europe";"2008";"fim2-1";"fim3-2";"Others";"ptxA1";"ptxP3"
"ERR2102115|2008|France|Europe";"France";"Europe";"2008";"fim2-1";"fim3-1";"Others";"ptxA1";"ptxP3"
"ERR2102116|2008|France|Europe";"France";"Europe";"2008";"fim2-1";"fim3-2";"Others";"ptxA1";"ptxP3"
"ERR2102117|2008|France|Europe";"France";"Europe";"2008";"fim2-1";"Others";"Others";"ptxA1";"ptxP3"
"ERR2102118|2008|France|Europe";"France";"Europe";"2008";"fim2-1";"fim3-2";"Others";"ptxA1";"ptxP3"
"ERR2102119|2008|France|Europe";"France";"Europe";"2008";"fim2-1";"fim3-2";"Others";"ptxA1";"ptxP3"
"ERR2102120|2008|France|Europe";"France";"Europe";"2008";"fim2-1";"fim3-2";"Others";"ptxA1";"ptxP3"
"ERR2102121|2008|France|Europe";"France";"Europe";"2008";"fim2-1";"fim3-2";"Others";"ptxA1";"ptxP3"
"ERR2102122|2008|France|Europe";"France";"Europe";"2008";"fim2-1";"fim3-1";"Others";"ptxA1";"ptxP3"
"ERR2102123|2008|France|Europe";"France";"Europe";"2008";"fim2-1";"fim3-2";"Others";"ptxA1";"ptxP3"
"ERR2102124|2009|France|Europe";"France";"Europe";"2009";"fim2-1";"fim3-1";"Others";"ptxA1";"ptxP3"
"ERR2102125|2009|France|Europe";"France";"Europe";"2009";"fim2-1";"fim3-1";"Others";"ptxA1";"ptxP3"
"ERR2102126|2009|France|Europe";"France";"Europe";"2009";"fim2-1";"fim3-2";"Others";"ptxA1";"Others"
"ERR2102127|2009|France|Europe";"France";"Europe";"2009";"fim2-1";"fim3-2";"Others";"ptxA1";"Others"
"ERR2102128|2009|France|Europe";"France";"Europe";"2009";"fim2-1";"fim3-2";"Others";"ptxA1";"Others"
"ERR2102129|2011|France|Europe";"France";"Europe";"2011";"fim2-1";"fim3-2";"Others";"ptxA1";"Others"
"ERR2102130|2011|France|Europe";"France";"Europe";"2011";"fim2-1";"fim3-2";"Others";"ptxA1";"ptxP3"
"ERR2102131|2011|France|Europe";"France";"Europe";"2011";"fim2-1";"fim3-2";"Others";"ptxA1";"ptxP3"
"ERR2102132|2013|France|Europe";"France";"Europe";"2013";"fim2-1";"fim3-1";"Others";"ptxA1";"ptxP3"
"ERR2102133|2013|France|Europe";"France";"Europe";"2013";"fim2-1";"fim3-1";"Others";"ptxA1";"ptxP3"
"ERR2102134|2014|France|Europe";"France";"Europe";"2014";"fim2-1";"fim3-1";"Others";"ptxA1";"ptxP3"
"ERR2102135|2014|France|Europe";"France";"Europe";"2014";"fim2-1";"fim3-2";"Others";"ptxA1";"ptxP3"
"ERR2102136|2014|France|Europe";"France";"Europe";"2014";"fim2-1";"fim3-2";"Others";"ptxA1";"ptxP3"
"ERR2102137|2014|France|Europe";"France";"Europe";"2014";"fim2-1";"fim3-2";"Others";"ptxA1";"ptxP3"
"ERR2102138|2014|France|Europe";"France";"Europe";"2014";"fim2-1";"fim3-1";"Others";"ptxA1";"ptxP3"
"ERR2102139|2014|France|Europe";"France";"Europe";"2014";"fim2-1";"fim3-1";"Others";"ptxA1";"ptxP3"
"ERR2102140|2014|France|Europe";"France";"Europe";"2014";"fim2-1";"fim3-1";"Others";"ptxA1";"ptxP3"
"ERR2102141|2014|France|Europe";"France";"Europe";"2014";"fim2-1";"fim3-2";"Others";"ptxA1";"ptxP3"
"ERR2102142|2014|France|Europe";"France";"Europe";"2014";"fim2-1";"fim3-2";"Others";"ptxA1";"ptxP3"
"ERR2102143|2014|France|Europe";"France";"Europe";"2014";"fim2-1";"fim3-2";"Others";"ptxA1";"ptxP3"
"ERR2102144|2014|France|Europe";"France";"Europe";"2014";"fim2-1";"fim3-1";"Others";"ptxA1";"ptxP3"
"ERR2102145|2014|France|Europe";"France";"Europe";"2014";"fim2-1";"fim3-1";"Others";"ptxA1";"ptxP3"
"ERR2102146|2014|France|Europe";"France";"Europe";"2014";"fim2-1";"fim3-1";"Others";"ptxA1";"ptxP3"
"ERR2102147|2014|France|Europe";"France";"Europe";"2014";"fim2-1";"fim3-1";"Others";"ptxA1";"ptxP3"
"ERR2102148|2014|France|Europe";"France";"Europe";"2014";"fim2-1";"fim3-1";"Others";"ptxA1";"ptxP3"
"ERR2102149|2014|France|Europe";"France";"Europe";"2014";"fim2-1";"fim3-2";"Others";"ptxA1";"ptxP3"
"ERR2102150|2014|France|Europe";"France";"Europe";"2014";"fim2-1";"fim3-2";"Others";"ptxA1";"ptxP3"
"ERR2102151|2014|France|Europe";"France";"Europe";"2014";"fim2-1";"fim3-2";"Others";"ptxA1";"ptxP3"
"ERR2102152|2015|France|Europe";"France";"Europe";"2015";"fim2-1";"fim3-2";"Others";"ptxA1";"ptxP3"
"ERR2102153|2015|France|Europe";"France";"Europe";"2015";"fim2-1";"fim3-2";"Others";"ptxA1";"ptxP3"
"ERR2102154|2015|France|Europe";"France";"Europe";"2015";"fim2-1";"fim3-2";"Others";"ptxA1";"ptxP3"
"ERR2102155|2015|France|Europe";"France";"Europe";"2015";"fim2-1";"fim3-1";"Others";"ptxA1";"ptxP3"
"ERR2102156|2015|France|Europe";"France";"Europe";"2015";"fim2-1";"fim3-2";"Others";"ptxA1";"ptxP3"
"ERR2102157|2015|France|Europe";"France";"Europe";"2015";"fim2-1";"fim3-1";"Others";"ptxA1";"ptxP3"
"ERR2102158|2015|France|Europe";"France";"Europe";"2015";"fim2-1";"fim3-1";"Others";"ptxA1";"ptxP3"
"ERR2102159|2015|France|Europe";"France";"Europe";"2015";"fim2-1";"fim3-1";"Others";"ptxA1";"ptxP3"
"ERR2102160|2015|France|Europe";"France";"Europe";"2015";"fim2-1";"fim3-1";"Others";"ptxA1";"ptxP1"
"ERR2102161|2015|France|Europe";"France";"Europe";"2015";"fim2-1";"fim3-2";"Others";"ptxA1";"ptxP3"
"ERR2102162|2015|France|Europe";"France";"Europe";"2015";"fim2-1";"fim3-2";"Others";"ptxA1";"ptxP3"
"ERR2102163|2015|France|Europe";"France";"Europe";"2015";"fim2-1";"fim3-1";"Others";"ptxA1";"ptxP3"
"ERR5101983|1996|France|Europe";"France";"Europe";"1996";"fim2-1";"fim3-2";"Others";"Others";"Others"
"ERR5101984|1999|France|Europe";"France";"Europe";"1999";"fim2-1";"fim3-1";"Others";"Others";"Others"
"ERR5101985|2005|France|Europe";"France";"Europe";"2005";"fim2-1";"fim3-2";"Others";"ptxA1";"ptxP3"
"ERR5101986|2007|France|Europe";"France";"Europe";"2007";"fim2-1";"fim3-2";"Others";"Others";"Others"
