"","seqnames","start","end","width","strand","type","gene","locus_tag","old_locus_tag","loctype","pseudo","gene_synonym","gene_id","product"
"1","Tohama I",4084270,4086189,1920,"-","gene","mnmG","BP_RS00005",BP0001,"normal",FALSE,NA,"BP_RS00005","tRNA uridine-5-carboxymethylaminomethyl(34)synthesis enzyme MnmG"
"2","Tohama I",4083581,4084273,693,"-","gene","rsmG","BP_RS00010",BP0002,"normal",FALSE,NA,"BP_RS00010","16S rRNA (guanine(527)-N(7))-methyltransferaseRsmG"
"3","Tohama I",4082787,4083584,798,"-","gene",NA,"BP_RS00015",BP0003,"normal",FALSE,NA,"BP_RS00015","ParA family protein"
"4","Tohama I",4082019,4082780,762,"-","gene",NA,"BP_RS00020",BP0004,"normal",FALSE,NA,"BP_RS00020","GNAT family N-acetyltransferase"
"5","Tohama I",4081058,4081975,918,"-","gene",NA,"BP_RS00025",BP0005,"normal",FALSE,NA,"BP_RS00025","ParB/RepB/Spo0J family partition protein"
"6","Tohama I",4080280,4081065,786,"-","gene",NA,"BP_RS00030",BP0006,"normal",FALSE,NA,"BP_RS00030","asparaginase"
"7","Tohama I",4080064,4080246,183,"-","gene",NA,"BP_RS00035",NA,"normal",FALSE,NA,"BP_RS00035","hypothetical protein"
"8","Tohama I",4079868,4079954,87,"-","gene",NA,"BP_RS00040",BPt01,"normal",FALSE,NA,"BP_RS00040",NA
"9","Tohama I",4079606,4079679,74,"-","gene",NA,"BP_RS00045",BPt02,"normal",FALSE,NA,"BP_RS00045",NA
"10","Tohama I",4079525,4079599,75,"-","gene",NA,"BP_RS00050",BPt03,"normal",FALSE,NA,"BP_RS00050",NA
"11","Tohama I",4078278,4079468,1191,"-","gene","tuf","BP_RS00055",BP0007,"normal",FALSE,NA,"BP_RS00055","elongation factor Tu"
"12","Tohama I",4078092,4078167,76,"-","gene",NA,"BP_RS00060",BPt04,"normal",FALSE,NA,"BP_RS00060",NA
"13","Tohama I",4077659,4078039,381,"-","gene","secE","BP_RS00065",BP0008,"normal",FALSE,NA,"BP_RS00065","preprotein translocase subunit SecE"
"14","Tohama I",4077116,4077649,534,"-","gene","nusG","BP_RS00070",BP0009,"normal",FALSE,NA,"BP_RS00070","transcription termination/antiterminationprotein NusG"
"15","Tohama I",4076621,4077052,432,"-","gene","rplK","BP_RS00075",BP0010,"normal",FALSE,NA,"BP_RS00075","50S ribosomal protein L11"
"16","Tohama I",4075920,4076618,699,"-","gene","rplA","BP_RS00080",BP0011,"normal",FALSE,NA,"BP_RS00080","50S ribosomal protein L1"
"17","Tohama I",4075153,4075677,525,"-","gene","rplJ","BP_RS00085",BP0013,"normal",FALSE,NA,"BP_RS00085","50S ribosomal protein L10"
"18","Tohama I",4074688,4075071,384,"-","gene","rplL","BP_RS00090",BP0014,"normal",FALSE,NA,"BP_RS00090","50S ribosomal protein L7/L12"
"19","Tohama I",4070416,4074528,4113,"-","gene","rpoB","BP_RS00095",BP0015,"normal",FALSE,NA,"BP_RS00095","DNA-directed RNA polymerase subunit beta"
"20","Tohama I",4066172,4070416,4245,"-","gene","rpoC","BP_RS00100",BP0016,"normal",FALSE,NA,"BP_RS00100","DNA-directed RNA polymerase subunit beta'"
"21","Tohama I",4065659,4066063,405,"+","gene",NA,"BP_RS00105",BP0017,"normal",FALSE,NA,"BP_RS00105","TssQ family T6SS-associated lipoprotein"
"22","Tohama I",4064243,4065418,1176,"-","gene",NA,"BP_RS00110",BP0018,"normal",FALSE,NA,"BP_RS00110","membrane protein"
"23","Tohama I",4061839,4064182,2344,"+","gene",NA,"BP_RS00115",BP0019,"normal",TRUE,NA,"BP_RS00115","CHASE2 domain-containing protein"
"24","Tohama I",4060731,4061837,1107,"+","gene",NA,"BP_RS00120",BP0020,"normal",FALSE,NA,"BP_RS00120","FecR domain-containing protein"
"25","Tohama I",4059977,4060713,737,"+","gene",NA,"BP_RS00125",BP0021,"normal",TRUE,NA,"BP_RS00125","response regulator transcription factor"
"26","Tohama I",4058904,4059719,816,"-","gene",NA,"BP_RS00130",BP0022,"normal",FALSE,NA,"BP_RS00130","response regulator transcription factor"
"27","Tohama I",4057957,4058907,951,"+","gene",NA,"BP_RS00135",BP0023,"normal",FALSE,NA,"BP_RS00135","IS481-like element IS481 family transposase"
"28","Tohama I",4057540,4057875,336,"+","gene",NA,"BP_RS00140",BP0024,"normal",FALSE,NA,"BP_RS00140","CoA transferase"
"29","Tohama I",4057081,4057515,435,"+","gene",NA,"BP_RS00145",BP0025,"normal",FALSE,NA,"BP_RS00145","OB-fold domain-containing protein"
"30","Tohama I",4055831,4057048,1218,"+","gene",NA,"BP_RS00150",BP0026,"normal",FALSE,NA,"BP_RS00150","thiolase family protein"
"31","Tohama I",4055328,4055825,498,"+","gene",NA,"BP_RS00155",BP0027,"normal",FALSE,NA,"BP_RS00155","MaoC family dehydratase"
"32","Tohama I",4054185,4055120,936,"+","gene",NA,"BP_RS00160",BP0028,"normal",FALSE,NA,"BP_RS00160","LysR family transcriptional regulator"
"33","Tohama I",4053184,4053975,792,"-","gene",NA,"BP_RS00165",BP0029,"normal",FALSE,NA,"BP_RS00165","enoyl-CoA hydratase/isomerase family protein"
"34","Tohama I",4051720,4053141,1422,"-","gene",NA,"BP_RS00170",BP0030,"normal",FALSE,NA,"BP_RS00170","MmgE/PrpD family protein"
"35","Tohama I",4050614,4051564,951,"-","gene",NA,"BP_RS00175",BP0031,"normal",FALSE,NA,"BP_RS00175","IS481-like element IS481 family transposase"
"36","Tohama I",4049427,4050617,1191,"+","gene",NA,"BP_RS00180",BP0032,"normal",FALSE,NA,"BP_RS00180","MFS transporter"
