Locus_id,Gene,Number of bases,Number of SNPs,Number of silent SNPs,Number of non-silent SNPs,Density (SNPs/bp),P-value,Product,Functional category,Subcellular localization,Bvg regulation
BPt48,-,85,1,1,0,0.01176,1.6851,Leu tRNA,Ribosomal RNA / tRNAs,ND,ND
BP3783,ptxA,810,9,3,10,0.01111,0.0033,pertussis toxin subunit 1 precursor,virulence-associated genes,Extracellular,+
BP2416,cysB,950,10,1,9,0.01053,0.0029,putative LysR-family transcriptional regulator,regulation,Cytoplasmic,+
BP2002,-,392,4,0,5,0.01020,0.5864,putative exported protein (pseudogene),pseudogenes,ND,+/-
BP1727,-,201,2,0,2,0.00995,1.6107,putative exported protein,cell surface,Unknown,+
BP2249,bscI,408,4,0,4,0.00980,0.5805,putative type III secretion protein,virulence-associated genes,Unknown,+
BP3351,-,204,2,0,2,0.00980,1.5830,N-terminal region of a two component sensor kinase (partial),regulation,ND,
BP3789,ptlB,315,3,1,2,0.00952,1.1657,pertussis toxin transport protein,virulence-associated genes,Cytoplasmic Membrane,+
BP3165,-,111,1,0,1,0.00901,1.6177,N-terminal region of a putative aldehyde dehydrogenase (Pseudogene),pseudogenes,ND,
BP3785,ptxD,459,4,1,3,0.00871,0.7276,pertussis toxin subunit 4 precursor,virulence-associated genes,Unknown,+
BP2502,-,243,2,0,2,0.00823,1.5307,hypothetical protein,unknown,Unknown,
BP3381,-,243,2,1,1,0.00823,1.5153,phage-related hypothetical protein,unknown,Unknown,
BP3525,-,612,5,0,5,0.00817,0.5216,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP3098,-,123,1,0,1,0.00813,1.5590,hypothetical protein,unknown,Unknown,
BP0261,-,126,1,1,0,0.00794,1.5495,putative exported protein,cell surface,Unknown,+
BP2894,-,921,7,1,6,0.00760,0.1904,putative LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP2132,-,396,3,1,2,0.00758,1.4488,conserved hypothetical protein,conserved hypothetical,Unknown,-
BP2531,ecnB,132,1,1,0,0.00758,1.5479,entericidin B-like bacteriolytic toxin,protection responses,Unknown,
BP2565,ecnA2,132,1,0,1,0.00758,1.5437,entericidin A anti-toxin precursor,protection responses,Unknown,
BP1500,-,399,3,2,1,0.00752,1.4417,putative IIa component of sugar transport PTS system,transport/binding proteins,Unknown,
BP0017,-,405,3,1,2,0.00741,1.3970,putative lipoprotein,unknown,Unknown,
BP1501,phbH,270,2,2,1,0.00741,1.6166,phosphocarrier protein HPr,transport/binding proteins,Cytoplasmic,
BP2319,-,546,4,1,3,0.00733,1.0316,putative transcriptional regulator,regulation,Unknown,
BP0266,-,279,2,2,0,0.00717,1.6261,putative exported protein,cell surface,Unknown,
BP3029,ftsL,279,2,1,1,0.00717,1.6124,putative cell division protein,cell division,Unknown,
BP1374,fla FIII,420,3,2,1,0.00714,1.5021,flagellar basal-body rod protein FlgC,cell processes,Periplasmic,
BP2581,-,282,2,1,1,0.00709,1.6160,hypothetical protein,unknown,Unknown,
BP2723,-,431,3,2,1,0.00696,1.5061,putative MerR-family transcriptional regulator,regulation,Cytoplasmic,
BP1880,fimA,444,3,3,0,0.00676,1.5308,fimbrial protein (pseudogene),cell surface,ND,+
BP0715,-,446,3,1,2,0.00673,1.4902,putative membrane protein (Pseudogene),pseudogenes,ND,
BP1939,-,300,2,0,2,0.00667,1.6390,putative ArsR-family transcriptional regulator,regulation,Unknown,
BP2183,-,300,2,0,2,0.00667,1.6267,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,+
BP0065,-,303,2,1,1,0.00660,1.5957,putative ferredoxin,energy metabolism,Cytoplasmic,
BP3088,-,306,2,2,0,0.00654,1.5562,putative exported protein,conserved hypothetical,Unknown,-
BP1568,fim3,615,4,1,5,0.00650,1.1751,serotype 3 fimbrial subunit precursor,virulence-associated genes,Extracellular,+
BP1849,-,771,5,3,2,0.00649,0.7781,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP0734,-,156,1,0,1,0.00641,1.6119,hypothetical protein,unknown,Cytoplasmic Membrane,
BP2944,-,468,3,1,2,0.00641,1.5681,conserved hypothetical protein,conserved hypothetical,Unknown,
BP1916,-,315,2,1,1,0.00635,1.5822,conserved hypothetical protein,conserved hypothetical,Unknown,
BP0351,-,318,2,0,2,0.00629,1.5872,putative ferredoxin,energy metabolism,Unknown,
BP0557,-,477,3,0,3,0.00629,1.5905,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP0361,-,480,3,1,2,0.00625,1.5892,conserved hypothetical protein,conserved hypothetical,Unknown,
BP0454,-,963,6,2,4,0.00623,0.5442,putative exported protein,cell surface,Unknown,
BP0270,-,162,1,0,1,0.00617,1.6097,hypothetical protein,unknown,Unknown,
BP2466,-,162,1,0,1,0.00617,1.6060,hypothetical protein,unknown,Unknown,
BP1639A,-,491,3,1,2,0.00611,1.6033,conserved hypothetical protein (pseudogene),pseudogenes,ND,
BP2820,-,1155,7,4,3,0.00606,0.4480,putative alcohol dehydrogenase,central/intermediary metabolism,Cytoplasmic,
BP0875,-,168,1,0,1,0.00595,1.6218,putative exported protein,cell surface,Unknown,
BP2811,fadD,1688,10,6,4,0.00592,0.1296,long-chain-fatty-acid--CoA ligase,small molecule degradation,Unknown,-
BP3174,fdx,340,2,1,1,0.00588,1.5928,[2Fe-2S] ferredoxin (Pseudogene),pseudogenes (phase-variable),ND,+
BP0440,-,341,2,0,2,0.00587,1.5822,N-terminal region of isovaleryl-CoA dehydrogenase (Pseudogene),pseudogenes,ND,+
BP0505,-,342,2,1,1,0.00585,1.5810,phage-related conserved hypothetical protein,phage-related or transposon-related,Unknown,
BP2252,bopB,1209,7,0,7,0.00579,0.5165,putative outer protein B,virulence-associated genes,Cytoplasmic Membrane,+
BP3683,-,174,1,0,1,0.00575,1.6116,putative exported protein,cell surface,Unknown,
BP0507,-,528,3,2,1,0.00568,1.4794,hypothetical protein,unknown,Cytoplasmic,
BP1111,-,177,1,1,0,0.00565,1.6118,hypothetical protein,unknown,Unknown,
BP1400,fla AIII,1434,8,5,4,0.00558,0.4543,flagellum-specific ATP synthase FliI,cell processes,Cytoplasmic,
BP2343,-,717,4,1,3,0.00558,1.4951,putative methypurine-DNA glycosylase,macromolecule synthesis/modification,Unknown,
BP0405,-,180,1,0,1,0.00556,1.6187,putative membrane protein,cell surface,Cytoplasmic Membrane,+
BP1059,-,360,2,2,0,0.00556,1.6585,hypothetical protein,unknown,Unknown,
BP0713,-,1463,8,5,3,0.00547,0.4423,putative membrane protein (Pseudogene),pseudogenes (phase-variable),ND,-
BP0510,-,183,1,1,0,0.00546,1.6220,phage-related putative membrane protein,cell surface,Unknown,
BP0059,-,552,3,3,0,0.00543,1.5058,regulatory protein (Pseudogene),pseudogenes,ND,
BP0328,-,371,2,1,1,0.00539,1.6448,conserved hypothetical protein,conserved hypothetical,Unknown,
BP3792,-,186,1,1,0,0.00538,1.6151,putative bacterial secretion system protein,transport/binding proteins,Unknown,+
BP1631,kpsC,2058,11,2,9,0.00534,0.1099,capsular polysaccharide export protein,cell surface,Cytoplasmic,-
BP2496,-,375,2,1,1,0.00533,1.6575,hypothetical protein,unknown,Unknown,-
BP1648,-,188,1,0,1,0.00532,1.6172,putative branched chain amino acid transport permease (Pseudogene),pseudogenes,ND,
BP1771,-,567,3,0,3,0.00529,1.5406,conserved hypothetical protein,conserved hypothetical,Unknown,-
BP3608,rpsL,378,2,1,1,0.00529,1.6713,30S ribosomal protein S12,ribosome constituents,Cytoplasmic,
BP3563,-,570,3,2,1,0.00526,1.5443,putative intracellular septation protein,cell surface,Cytoplasmic Membrane,
BP0165,-,384,2,2,0,0.00521,1.6815,conserved hypothetical protein (Pseudogene),pseudogenes,ND,
BP0544,-,192,1,0,1,0.00521,1.5924,putative 4-oxalocrotonate tautomerase,small molecule degradation,Unknown,
BP1923,-,768,4,0,4,0.00521,1.5446,probable short chain dehydrogenase,miscellaneous,Cytoplasmic,
BP3545,-,192,1,1,0,0.00521,1.5893,hypothetical protein,conserved hypothetical,Unknown,
BP3212,-,771,4,2,2,0.00519,1.5309,conserved hypothetical protein,conserved hypothetical,Unknown,
BP1838,-,582,3,2,1,0.00515,1.5443,putative exported protein,macromolecule degradation,Unknown,
BP1950,-,777,4,1,3,0.00515,1.4754,putative ATP-binding component of branched-chain amino acid ABC transporter,transport/binding proteins,Unknown,
BP0817,-,972,5,2,3,0.00514,1.1649,putative exported protein,cell surface,Unknown,
BP2068,-,975,5,2,3,0.00513,1.1424,putative exported protein,cell surface,Unknown,-
BP0787,-,591,3,1,2,0.00508,1.5720,N-terminal region of a putative membrane protein (Pseudogene),pseudogenes,ND,
BP0038,gloA,396,2,0,2,0.00505,1.7017,lactoylglutathione lyase,central/intermediary metabolism,Cytoplasmic,
BP3630,rpsH,396,2,2,0,0.00505,1.6935,30S ribosomal protein S8,ribosome constituents,Cytoplasmic,
BP2528A,-,598,3,1,2,0.00502,1.5867,putative exported protein (pseudogene),pseudogenes,ND,
BP1782,-,798,4,0,4,0.00501,1.4882,probable enoyl-CoA hydratase/isomerase,small molecule degradation,Cytoplasmic,
BP2236,bscW,399,2,0,2,0.00501,1.7067,hypothetical protein,virulence-associated genes,Unknown,+
BP2810,-,1197,6,1,5,0.00501,1.0124,putative hydrolase,miscellaneous,Cytoplasmic,
BP1554,-,600,3,0,3,0.00500,1.5845,hypothetical protein,unknown,Cytoplasmic,
BP1781,-,402,2,1,1,0.00498,1.6876,conserved hypothetical protein,conserved hypothetical,Unknown,
BP3734,-,603,3,3,0,0.00498,1.5887,SCO1/SenC family protein,cell surface,Unknown,
BP3774,hisI,405,2,1,1,0.00494,1.7006,putative phosphoribosyl-AMP cyclohydrolase,miscellaneous,Cytoplasmic,
BP3426,-,1419,7,3,4,0.00493,0.7535,putative amidase,central/intermediary metabolism,Cytoplasmic,
BP3553,risS,1426,7,1,6,0.00491,0.7255,sensor kinase protein (pseudogene),pseudogenes (phase-variable),ND,+
BP0799,-,612,3,3,0,0.00490,1.6016,conserved hypothetical protein,conserved hypothetical,Unknown,-
BP2892,-,819,4,2,2,0.00488,1.5590,putative integral membrane protein,cell surface,Cytoplasmic Membrane,
BP2009,-,411,2,1,1,0.00487,1.6798,putative cytochrome c,energy metabolism,Periplasmic,
BP2965,-,618,3,0,3,0.00485,1.6104,conserved hypothetical protein,unknown,Cytoplasmic,
BP2847,-,826,4,1,3,0.00484,1.5464,putative exported protein,cell surface,ND,
BP2363,cybA,414,2,2,0,0.00483,1.6701,succinate dehydrogenase cytochrome B subunit,energy metabolism,Cytoplasmic Membrane,
BP0282,-,623,3,2,1,0.00482,1.6130,putative regulatory protein,regulation,Cytoplasmic,
BP0553,-,1251,6,4,2,0.00480,1.0370,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP0187,-,420,2,1,1,0.00476,1.6806,putative lyase,miscellaneous,Unknown,
BP1263,fipA,426,2,2,0,0.00469,1.6837,thioredoxin 1,cofactor biosynthesis,Cytoplasmic,
BP1270,-,639,3,1,2,0.00469,1.6146,putative glutathione S-transferase,cofactor biosynthesis,Cytoplasmic,
BP2584A,-,213,1,0,1,0.00469,1.6134,putative membrane protein (pseudogene),pseudogenes,ND,
BP0965,-,642,3,2,1,0.00467,1.6061,antioxidant protein,protection responses,Cytoplasmic,+
BP2118,-,214,1,1,0,0.00467,1.6112,transposase (Pseudogene),pseudogenes,ND,
BP3232,-,428,2,0,2,0.00467,1.6754,conserved hypothetical protein (Pseudogene),pseudogenes,ND,
BP1629,wbpO,1290,6,6,0,0.00465,1.1475,capsular polysaccharide biosynthesis protein,cell surface,Cytoplasmic,-
BP0153,-,432,2,1,1,0.00463,1.6870,probable dioxygenase,miscellaneous,Unknown,
BP2714,-,432,2,1,1,0.00463,1.6800,putative lipoprotein,cell surface,Unknown,
BP0025,-,435,2,2,2,0.00460,1.6922,conserved hypothetical protein,conserved hypothetical,Unknown,
BP0312,-,435,2,1,1,0.00460,1.6852,probable 4-hydroxybenzoyl CoA thioesterase,miscellaneous,Unknown,
BP0836,-,435,2,1,1,0.00460,1.6783,putative exported protein,cell surface,Unknown,
BP2865,-,435,2,0,2,0.00460,1.6715,conserved hypothetical protein,unknown,Unknown,-
BP0182,-,1089,5,2,3,0.00459,1.5241,putative iron sulfur binding protein,miscellaneous,Cytoplasmic Membrane,
BP3121,-,1092,5,0,5,0.00458,1.4613,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP1188A,-,219,1,0,2,0.00457,1.6116,hypothetical protein,unknown,Unknown,
BP1193,-,219,1,0,1,0.00457,1.6088,conserved hypothetical protein,conserved hypothetical,Unknown,-
BP2675,paaK,1314,6,2,4,0.00457,1.2009,phenylacetate-coenzyme A ligase,small molecule degradation,Cytoplasmic,-
BP2043,-,660,3,2,1,0.00455,1.6614,putative lipoprotein,cell surface,Unknown,
BP0724,-,885,4,0,4,0.00452,1.5474,"probable ABC transporter, permease protein",transport/binding proteins,Cytoplasmic Membrane,
BP1536,-,444,2,0,2,0.00450,1.6541,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2782,-,222,1,0,1,0.00450,1.6078,lipoprotein,cell surface,Unknown,-
BP3231,osmB,222,1,0,1,0.00450,1.6050,osmotically inducible lipoprotein B precursor,adaptation,Unknown,-
BP3040,bllY,1113,5,2,3,0.00449,1.4262,putative hemolysin,virulence-associated genes,Cytoplasmic,
BP1627,vipC,891,4,2,2,0.00449,1.5376,capsular polysaccharide biosynthesis protein,cell surface,Cytoplasmic,-
BP3073,-,891,4,3,1,0.00449,1.5171,putative acyltransferase,cell surface,Cytoplasmic Membrane,
BP0292,-,1340,6,1,5,0.00448,1.1382,conserved hypothetical protein (Pseudogene),pseudogenes,ND,
BP2109,-,447,2,1,1,0.00447,1.6341,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP3798,-,894,4,0,4,0.00447,1.5128,AraC family regulatory protein,regulation,Cytoplasmic,
BP0949,cmk,672,3,2,1,0.00446,1.6185,cytidylate kinase,central/intermediary metabolism,Cytoplasmic,
BP1096,livM,897,4,2,2,0.00446,1.4895,high-affinity branched-chain amino acid transport system permease protein (Pseudogene),pseudogenes,ND,
BP2650,-,673,3,3,0,0.00446,1.6123,conserved hypothetical protein (pseudogene),pseudogenes,ND,
BP1039,-,450,2,0,2,0.00444,1.6395,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP2402,-,450,2,2,0,0.00444,1.6333,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP3126,ipk,900,4,2,2,0.00444,1.4859,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,cofactor biosynthesis,Unknown,
BP3385,-,450,2,1,1,0.00444,1.6271,phage-related conserved hypothetical protein,conserved hypothetical,Unknown,
BP0425,-,902,4,1,3,0.00443,1.4775,probable LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP2318,-,903,4,1,3,0.00443,1.4642,putative dehydratase,miscellaneous,Unknown,
BP0907,-,454,2,1,1,0.00441,1.6084,putative lipoprotein (Pseudogene),pseudogenes (phase-variable),ND,+
BP1349,-,681,3,1,3,0.00441,1.5992,putative GntR-family transcriptional regulator,regulation,Cytoplasmic,
BP2611,-,681,3,2,1,0.00441,1.5880,probable transcriptional regulator (pseudogene),pseudogenes,ND,
BP3784,ptxB,681,3,2,1,0.00441,1.5769,pertussis toxin subunit 2 precursor,virulence-associated genes,Unknown,+
BP0033,glyQ,912,4,4,0,0.00439,1.4735,glycyl-tRNA synthetase alpha chain,macromolecule synthesis/modification,Cytoplasmic,
BP3846,-,687,3,1,2,0.00437,1.5768,TetR family transcriptional regulator,regulation,Cytoplasmic,
BP0278,mscL,459,2,0,2,0.00436,1.6078,large-conductance mechanosensitive channel,adaptation,Cytoplasmic Membrane,-
BP1687,-,918,4,2,2,0.00436,1.4511,LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP3546,-,918,4,1,3,0.00436,1.4345,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP0986,cusC,1383,6,1,5,0.00434,1.1940,probable outer membrane lipoprotein,cell surface,Outer Membrane,
BP2787,-,465,2,1,1,0.00430,1.6129,hypothetical protein,miscellaneous,Unknown,
BP3486,nusB,465,2,2,0,0.00430,1.6072,N utilization substance protein B,macromolecule synthesis/modification,Unknown,
BP2557,-,1164,5,2,3,0.00430,1.4845,conserved hypothetical protein,miscellaneous,Unknown,
BP0513,-,468,2,1,1,0.00427,1.6070,phage-related hypothetical protein,ribosome constituents,Cytoplasmic,
BP1474,-,234,1,0,1,0.00427,1.5982,putative lipoprotein,cell surface,Unknown,
BP2006,-,468,2,0,2,0.00427,1.6014,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP0079,ffh,1406,6,3,3,0.00427,1.2481,signal recognition particle protein,transport/binding proteins,Cytoplasmic Membrane,
BP2007,-,705,3,1,2,0.00426,1.5682,putative ECF-family RNA polymerase sigma factor,macromolecule synthesis/modification,Cytoplasmic,
BP0208,-,1413,6,1,5,0.00425,1.2397,putative oxidoreductase,miscellaneous,Cytoplasmic,-
BP3430,-,708,3,1,2,0.00424,1.5443,putative branched-chain amino acid transport ATP-binding ABC transporter,transport/binding proteins,Cytoplasmic,
BP0044,-,237,1,0,1,0.00422,1.5997,transcriptional regulator,regulation,Cytoplasmic,
BP2424,-,711,3,1,2,0.00422,1.5404,putative integral membrane protein,cell surface,Cytoplasmic Membrane,
BP2883,-,237,1,0,1,0.00422,1.5971,putative NADH:flavin oxidoreductase (pseudogene),pseudogenes,ND,
BP3691,-,948,4,1,3,0.00422,1.5136,prolyl iminopeptidase,macromolecule degradation,Cytoplasmic,
BP2267,greA,477,2,2,0,0.00419,1.6121,transcription elongation factor,macromolecule synthesis/modification,Cytoplasmic,
BP1934,-,957,4,1,4,0.00418,1.5409,putative exported protein,cell surface,Periplasmic,
BP2538,-,720,3,0,3,0.00417,1.5669,integral membrane protein,cell surface,Cytoplasmic Membrane,
BP1354,-,963,4,2,2,0.00415,1.5536,putative exported protein,cell surface,Unknown,
BP1863,-,483,2,1,1,0.00414,1.6173,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP0738,-,484,2,0,2,0.00413,1.6173,ECF-family sigma factor Pseudogene),pseudogenes,ND,
BP2935,-,1212,5,1,4,0.00413,1.5396,"putative two component system, histidine kinase",regulation,Cytoplasmic Membrane,+
BP0364,-,971,4,0,4,0.00412,1.5433,putative exported protein,cell surface,Unknown,
BP1575,glnQ,729,3,2,1,0.00412,1.5934,glutamine transport ATP-binding protein,transport/binding proteins,Cytoplasmic Membrane,
